benchmark,number_of_nodes,number_of_edges,density,Dijkstras,Dijkstras_DHeap,Dijkstras_BinomialHeap
../benchmarks/test0_m100_m400_.txt,100,400,M=4*N,103.000000,45.000000,591.000000
../benchmarks/test0_m100_m400_.txt,100,400,M=4*N,104.000000,44.000000,631.000000
../benchmarks/test1_m100_m1200_.txt,100,1200,M=12*N,203.000000,388.000000,772.000000
../benchmarks/test1_m100_m1200_.txt,100,1200,M=12*N,203.000000,389.000000,766.000000
../benchmarks/test2_m100_m2500_.txt,100,2500,M=25*N,386.000000,711.000000,1180.000000
../benchmarks/test2_m100_m2500_.txt,100,2500,M=25*N,372.000000,683.000000,1171.000000
../benchmarks/test3_m100_m200.0_.txt,100,200.0,M=N*N/50,70.000000,6.000000,364.000000
../benchmarks/test3_m100_m200.0_.txt,100,200.0,M=N*N/50,70.000000,5.000000,367.000000
../benchmarks/test4_m100_m1000.0_.txt,100,1000.0,M=N*N/10,178.000000,352.000000,711.000000
../benchmarks/test4_m100_m1000.0_.txt,100,1000.0,M=N*N/10,178.000000,354.000000,723.000000
../benchmarks/test0_m600_m2400_.txt,600,2400,M=4*N,1481.000000,252.000000,6299.000000
../benchmarks/test0_m600_m2400_.txt,600,2400,M=4*N,1513.000000,255.000000,5709.000000
../benchmarks/test1_m600_m7200_.txt,600,7200,M=12*N,2117.000000,3756.000000,9321.000000
../benchmarks/test1_m600_m7200_.txt,600,7200,M=12*N,2101.000000,3761.000000,9376.000000
../benchmarks/test2_m600_m15000_.txt,600,15000,M=25*N,3096.000000,2668.000000,13579.000000
../benchmarks/test2_m600_m15000_.txt,600,15000,M=25*N,3979.000000,3013.000000,16803.000000
../benchmarks/test3_m600_m7200.0_.txt,600,7200.0,M=N*N/50,2115.000000,2583.000000,9273.000000
../benchmarks/test3_m600_m7200.0_.txt,600,7200.0,M=N*N/50,2108.000000,2591.000000,9275.000000
../benchmarks/test4_m600_m36000.0_.txt,600,36000.0,M=N*N/10,5931.000000,10806.000000,21611.000000
../benchmarks/test4_m600_m36000.0_.txt,600,36000.0,M=N*N/10,5955.000000,10998.000000,21978.000000
../benchmarks/test0_m1100_m4400_.txt,1100,4400,M=4*N,4720.000000,3029.000000,14005.000000
../benchmarks/test0_m1100_m4400_.txt,1100,4400,M=4*N,4697.000000,2983.000000,12493.000000
../benchmarks/test1_m1100_m13200_.txt,1100,13200,M=12*N,5834.000000,5612.000000,25085.000000
../benchmarks/test1_m1100_m13200_.txt,1100,13200,M=12*N,5807.000000,5542.000000,25079.000000
../benchmarks/test2_m1100_m27500_.txt,1100,27500,M=25*N,7555.000000,9289.000000,37592.000000
