benchmark,number_of_nodes,number_of_edges,density,Dijkstras,Dijkstras_DHeap,Dijkstras_BinomialHeap
../benchmarks/test_100_400_4.txt,100,400,4,175.000000,378.000000,754.000000
../benchmarks/test_100_1200_12.txt,100,1200,12,235.000000,463.000000,926.000000
../benchmarks/test_100_2000_20.txt,100,2000,20,341.000000,650.000000,1710.000000
../benchmarks/test_100_48500.0_485.0.txt,100,48500.0,485.0,753.000000,1287.000000,1834.000000
../benchmarks/test_350_1400_4.txt,350,1400,4,660.000000,907.000000,2560.000000
../benchmarks/test_350_4200_12.txt,350,4200,12,966.000000,1447.000000,4130.000000
../benchmarks/test_350_7000_20.txt,350,7000,20,1332.000000,2016.000000,5207.000000
../benchmarks/test_350_169750.0_485.0.txt,350,169750.0,485.0,8460.000000,13604.000000,19651.000000
../benchmarks/test_600_2400_4.txt,600,2400,4,1520.000000,1434.000000,4993.000000
../benchmarks/test_600_7200_12.txt,600,7200,12,2157.000000,2461.000000,9498.000000
../benchmarks/test_600_12000_20.txt,600,12000,20,2736.000000,3425.000000,11397.000000
../benchmarks/test_600_291000.0_485.0.txt,600,291000.0,485.0,24354.000000,37817.000000,56016.000000
../benchmarks/test_850_3400_4.txt,850,3400,4,3216.000000,2206.000000,8596.000000
../benchmarks/test_850_10200_12.txt,850,10200,12,4220.000000,3806.000000,19215.000000
../benchmarks/test_850_17000_20.txt,850,17000,20,5323.000000,5450.000000,23629.000000
../benchmarks/test_850_412250.0_485.0.txt,850,412250.0,485.0,46805.000000,70453.000000,108495.000000
../benchmarks/test_1100_4400_4.txt,1100,4400,4,5117.000000,2780.000000,12036.000000
../benchmarks/test_1100_13200_12.txt,1100,13200,12,6155.000000,4660.000000,23770.000000
../benchmarks/test_1100_22000_20.txt,1100,22000,20,7174.000000,6395.000000,31450.000000
../benchmarks/test_1100_533500.0_485.0.txt,1100,533500.0,485.0,70073.000000,104242.000000,170765.000000
../benchmarks/test_1350_5400_4.txt,1350,5400,4,7738.000000,3498.000000,16721.000000
../benchmarks/test_1350_16200_12.txt,1350,16200,12,9032.000000,5641.000000,34806.000000
../benchmarks/test_1350_27000_20.txt,1350,27000,20,10443.000000,7827.000000,44712.000000
../benchmarks/test_1350_654750.0_485.0.txt,1350,654750.0,485.0,88544.000000,127236.000000,227486.000000
../benchmarks/test_1600_6400_4.txt,1600,6400,4,10900.000000,4181.000000,21706.000000
../benchmarks/test_1600_19200_12.txt,1600,19200,12,12495.000000,6745.000000,44962.000000
../benchmarks/test_1600_32000_20.txt,1600,32000,20,13845.000000,9300.000000,59918.000000
../benchmarks/test_1600_776000.0_485.0.txt,1600,776000.0,485.0,105855.000000,151937.000000,289828.000000
../benchmarks/test_1850_7400_4.txt,1850,7400,4,14805.000000,4830.000000,27120.000000
../benchmarks/test_1850_22200_12.txt,1850,22200,12,16454.000000,7967.000000,58503.000000
../benchmarks/test_1850_37000_20.txt,1850,37000,20,18114.000000,10817.000000,78831.000000
../benchmarks/test_1850_897250.0_485.0.txt,1850,897250.0,485.0,121834.000000,176739.000000,346824.000000
../benchmarks/test_2100_8400_4.txt,2100,8400,4,18933.000000,5653.000000,32388.000000
../benchmarks/test_2100_25200_12.txt,2100,25200,12,20822.000000,8964.000000,72904.000000
../benchmarks/test_2100_42000_20.txt,2100,42000,20,22965.000000,12354.000000,103900.000000
../benchmarks/test_2100_1018500.0_485.0.txt,2100,1018500.0,485.0,140398.000000,200274.000000,417485.000000
../benchmarks/test_2350_9400_4.txt,2350,9400,4,24102.000000,6312.000000,38711.000000
../benchmarks/test_2350_28200_12.txt,2350,28200,12,26108.000000,9911.000000,90398.000000
../benchmarks/test_2350_47000_20.txt,2350,47000,20,27998.000000,13878.000000,117633.000000
../benchmarks/test_2350_1139750.0_485.0.txt,2350,1139750.0,485.0,159093.000000,221508.000000,502670.000000
../benchmarks/test_2600_10400_4.txt,2600,10400,4,29671.000000,7041.000000,45674.000000
../benchmarks/test_2600_31200_12.txt,2600,31200,12,31778.000000,11345.000000,107939.000000
../benchmarks/test_2600_52000_20.txt,2600,52000,20,33986.000000,15530.000000,144314.000000
../benchmarks/test_2600_1261000.0_485.0.txt,2600,1261000.0,485.0,182948.000000,247827.000000,625874.000000
../benchmarks/test_2850_11400_4.txt,2850,11400,4,36953.000000,9146.000000,59339.000000
../benchmarks/test_2850_34200_12.txt,2850,34200,12,38162.000000,12565.000000,126520.000000
../benchmarks/test_2850_57000_20.txt,2850,57000,20,40017.000000,16675.000000,167878.000000
../benchmarks/test_2850_1382250.0_485.0.txt,2850,1382250.0,485.0,198996.000000,271583.000000,688015.000000
../benchmarks/test_3100_12400_4.txt,3100,12400,4,42276.000000,8375.000000,63710.000000
../benchmarks/test_3100_37200_12.txt,3100,37200,12,48886.000000,13394.000000,149678.000000
../benchmarks/test_3100_62000_20.txt,3100,62000,20,48598.000000,18385.000000,203408.000000
../benchmarks/test_3100_1503500.0_485.0.txt,3100,1503500.0,485.0,219141.000000,296311.000000,783769.000000
../benchmarks/test_3350_13400_4.txt,3350,13400,4,49297.000000,8913.000000,74074.000000
../benchmarks/test_3350_40200_12.txt,3350,40200,12,52146.000000,14380.000000,172602.000000
../benchmarks/test_3350_67000_20.txt,3350,67000,20,54595.000000,19959.000000,228124.000000
../benchmarks/test_3350_1624750.0_485.0.txt,3350,1624750.0,485.0,240886.000000,318809.000000,875257.000000
../benchmarks/test_3600_14400_4.txt,3600,14400,4,58788.000000,9984.000000,81828.000000
../benchmarks/test_3600_43200_12.txt,3600,43200,12,59951.000000,15823.000000,201143.000000
../benchmarks/test_3600_72000_20.txt,3600,72000,20,68678.000000,21467.000000,261825.000000
../benchmarks/test_3600_1746000.0_485.0.txt,3600,1746000.0,485.0,270068.000000,341559.000000,985450.000000
../benchmarks/test_3850_15400_4.txt,3850,15400,4,65614.000000,10806.000000,89553.000000
../benchmarks/test_3850_46200_12.txt,3850,46200,12,69008.000000,16797.000000,220833.000000
../benchmarks/test_3850_77000_20.txt,3850,77000,20,71579.000000,22580.000000,305048.000000
../benchmarks/test_3850_1867250.0_485.0.txt,3850,1867250.0,485.0,286809.000000,368196.000000,1118470.000000
../benchmarks/test_4100_16400_4.txt,4100,16400,4,74775.000000,11570.000000,98556.000000
../benchmarks/test_4100_49200_12.txt,4100,49200,12,77828.000000,18141.000000,249997.000000
../benchmarks/test_4100_82000_20.txt,4100,82000,20,82983.000000,29404.000000,339213.000000
../benchmarks/test_4100_1988500.0_485.0.txt,4100,1988500.0,485.0,307428.000000,394962.000000,1237315.000000
../benchmarks/test_4350_17400_4.txt,4350,17400,4,83970.000000,12229.000000,111131.000000
../benchmarks/test_4350_52200_12.txt,4350,52200,12,87819.000000,19028.000000,281465.000000
../benchmarks/test_4350_87000_20.txt,4350,87000,20,94056.000000,29145.000000,381476.000000
../benchmarks/test_4350_2109750.0_485.0.txt,4350,2109750.0,485.0,335016.000000,418152.000000,1370460.000000
../benchmarks/test_4600_18400_4.txt,4600,18400,4,103626.000000,13182.000000,124610.000000
../benchmarks/test_4600_55200_12.txt,4600,55200,12,107911.000000,20315.000000,313289.000000
../benchmarks/test_4600_92000_20.txt,4600,92000,20,100992.000000,27266.000000,421768.000000
../benchmarks/test_4600_2231000.0_485.0.txt,4600,2231000.0,485.0,357469.000000,445570.000000,1498163.000000
../benchmarks/test_4850_19400_4.txt,4850,19400,4,110228.000000,13722.000000,137931.000000
../benchmarks/test_4850_58200_12.txt,4850,58200,12,114223.000000,21408.000000,347073.000000
../benchmarks/test_4850_97000_20.txt,4850,97000,20,112320.000000,28705.000000,507389.000000
../benchmarks/test_4850_2352250.0_485.0.txt,4850,2352250.0,485.0,391625.000000,460443.000000,1635035.000000
